2009-10-19 05:06:58 status unpacked sed 4.1.5-8
2009-10-19 05:06:58 install startup-tasks <none> 0.3.9-8
2009-10-19 05:06:58 status half-installed startup-tasks 0.3.9-8
2009-10-19 05:06:58 status unpacked startup-tasks 0.3.9-8
2009-10-19 05:06:58 status unpacked startup-tasks 0.3.9-8
2009-10-19 05:06:58 install system-services <none> 0.3.9-8
2009-10-19 05:06:58 status half-installed system-services 0.3.9-8
2009-10-19 05:06:58 status unpacked system-services 0.3.9-8
2009-10-19 05:06:58 status unpacked system-services 0.3.9-8
2009-10-19 05:06:58 install sysv-rc <none> 2.86.ds1-61ubuntu11
2009-10-19 05:06:58 status half-installed sysv-rc 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 status unpacked sysv-rc 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 status unpacked sysv-rc 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 install sysvinit-utils <none> 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 status half-installed sysvinit-utils 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 status unpacked sysvinit-utils 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 status unpacked sysvinit-utils 2.86.ds1-61ubuntu11
2009-10-19 05:06:59 install tar <none> 1.20-1
2009-10-19 05:06:59 status half-installed tar 1.20-1
2009-10-19 05:06:59 status unpacked tar 1.20-1
2009-10-19 05:06:59 status unpacked tar 1.20-1
2009-10-19 05:06:59 install tzdata <none> 2009f-0ubuntu1
2009-10-19 05:06:59 status half-installed tzdata 2009f-0ubuntu1
2009-10-19 05:07:00 status unpacked tzdata 2009f-0ubuntu1
2009-10-19 05:07:01 status unpacked tzdata 2009f-0ubuntu1
2009-10-19 05:07:01 install upstart <none> 0.3.9-8
2009-10-19 05:07:01 status half-installed upstart 0.3.9-8
2009-10-19 05:07:01 status unpacked upstart 0.3.9-8
2009-10-19 05:07:01 status unpacked upstart 0.3.9-8
2009-10-19 05:07:01 install upstart-compat-sysv <none> 0.3.9-8
2009-10-19 05:07:01 status half-installed upstart-compat-sysv 0.3.9-8
2009-10-19 05:07:01 status unpacked upstart-compat-sysv 0.3.9-8
2009-10-19 05:07:01 status unpacked upstart-compat-sysv 0.3.9-8
2009-10-19 05:07:01 install upstart-logd <none> 0.3.9-8
2009-10-19 05:07:01 status half-installed upstart-logd 0.3.9-8
2009-10-19 05:07:01 status unpacked upstart-logd 0.3.9-8
2009-10-19 05:07:01 status unpacked upstart-logd 0.3.9-8
2009-10-19 05:07:01 install util-linux <none> 2.14.2-1ubuntu4
2009-10-19 05:07:01 status half-installed util-linux 2.14.2-1ubuntu4
2009-10-19 05:07:02 status unpacked util-linux 2.14.2-1ubuntu4
2009-10-19 05:07:02 status unpacked util-linux 2.14.2-1ubuntu4
2009-10-19 05:07:02 install zlib1g <none> 1:1.2.3.3.dfsg-12ubuntu2
2009-10-19 05:07:02 status half-installed zlib1g 1:1.2.3.3.dfsg-12ubuntu2
2009-10-19 05:07:02 status unpacked zlib1g 1:1.2.3.3.dfsg-12ubuntu2
2009-10-19 05:07:02 status unpacked zlib1g 1:1.2.3.3.dfsg-12ubuntu2
2009-10-19 05:07:02 startup packages configure
2009-10-19 05:07:02 configure sysv-rc 2.86.ds1-61ubuntu11 2.86.ds1-61ubuntu11
2009-10-19 05:07:02 status unpacked sysv-rc 2.86.ds1-61ubuntu11
2009-10-19 05:07:02 status half-configured sysv-rc 2.86.ds1-61ubuntu11
2009-10-19 05:07:02 status installed sysv-rc 2.86.ds1-61ubuntu11
2009-10-19 05:07:02 configure gcc-4.3-base 4.3.3-5ubuntu4 4.3.3-5ubuntu4
2009-10-19 05:07:02 status unpacked gcc-4.3-base 4.3.3-5ubuntu4
2009-10-19 05:07:02 status half-configured gcc-4.3-base 4.3.3-5ubuntu4
2009-10-19 05:07:02 status installed gcc-4.3-base 4.3.3-5ubuntu4
